,Group,Scores
0,1.0,0.5628095818107999
1,1.0,0.5700228180262408
2,1.0,0.6278667923342759
3,1.0,0.5975482134848258
4,2.0,0.5261063743402354
5,2.0,0.5248406449193851
6,2.0,0.8795161797046811
7,2.0,0.6573911001526359
8,3.0,0.5761266747868453
9,3.0,0.5811614730878187
10,3.0,0.6445177505497958
11,3.0,0.6112021450916132
12,4.0,0.5271619975639464
13,4.0,0.5275048120757775
14,4.0,0.8179390512095508
15,4.0,0.6413746381720761
16,5.0,0.5651644336175395
17,5.0,0.5720598717034925
18,5.0,0.6303801445177506
19,5.0,0.599805694641656
20,6.0,0.533252131546894
21,6.0,0.5304853985793212
22,6.0,0.8446434181589695
23,6.0,0.6516785844140104
24,7.0,0.5753958587088916
25,7.0,0.5756285752294799
26,7.0,0.6797046811184417
27,7.0,0.6233523013757833
28,8.0,0.9003654080389769
29,8.0,0.910004786979416
30,8.0,0.8958529688972667
31,8.0,0.9028734267394919
32,9.0,0.9010150223304912
33,9.0,0.9077800665504674
34,9.0,0.8999371661954131
35,9.0,0.9038416029028948
36,10.0,0.9021518473406415
37,10.0,0.9077263390741034
38,10.0,0.9024505183788878
39,10.0,0.9050807404489958
40,11.0,0.9015834348355664
41,11.0,0.9095677050222505
42,11.0,0.8989946591266101
43,11.0,0.904250276504977
44,12.0,0.9036134794965489
45,12.0,0.907090080176073
46,12.0,0.906377631165567
47,12.0,0.9067337157224797
48,13.0,0.9022330491270808
49,13.0,0.9060730018879799
50,13.0,0.9046497015394283
51,13.0,0.9053607923282504
52,14.0,0.9024766544863987
53,14.0,0.9059896242729131
54,14.0,0.9052780395852968
55,14.0,0.9056336921505461
56,15.0,0.9027202598457166
57,15.0,0.9086021505376344
58,15.0,0.902607602890355
59,15.0,0.9055949566587864
60,16.0,0.6527811611855461
61,16.0,0.6519337016574586
62,16.0,0.7043669494187873
63,16.0,0.6771368166717004
64,17.0,0.6629313844904587
65,17.0,0.6676252459512638
66,17.0,0.692899780081684
67,17.0,0.6800277499421876
68,18.0,0.6560292326431182
69,18.0,0.6606334841628959
70,18.0,0.6880301602262017
71,18.0,0.6740535549399815
72,19.0,0.6680470970361347
73,19.0,0.6721584038694075
74,19.0,0.6985548224945021
75,19.0,0.6851024495455245
76,20.0,0.6526999593991067
77,20.0,0.6564325295791523
78,20.0,0.6885014137606033
79,20.0,0.6720846431035805
80,21.0,0.6619569630531872
81,21.0,0.665167191482981
82,21.0,0.6968268928683632
